Food,Allergy,Substitute
Qing-geng-cai,Cruciferous Allergy,Spinach
Quince,Oral Allergy Syndrome,Pear
Radish root,Hypersensitivity,Carrots
Rapeseed,Seed Allergy,Sunflower Seeds
Raspberry,Salicylate Allergy,Blueberries (if tolerated)
Rice,Rice Allergy,Quinoa
Royal Jelly,Honey Allergy,Maple Syrup
Rye,Gluten Allergy,Rice Flour
Safflower seed,Seed Allergy,Sunflower Seeds
Salmon,Fish Allergy,Tofu
Salsify,Insulin Allergy,Parsnips
Sansho,Pepper Allergy,Black Pepper (if tolerated)
Sea Bass,Fish Allergy,Tofu
Sea Bream,Fish Allergy,Tofu
Sesame seed,Seed Allergy,Chia Seeds
Shallot,Allium Allergy,Scallions
Sheep,Alpha-gal Syndrome,Tempeh
Shelled mollusc,Fish Allergy,Tofu
Shiitake  mushroom,Mushroom Allergy,No substitute available
Shungiku,Insulin Allergy,Lettuce
Sour cream,Milk allergy / Lactose intolerance,Coconut Cream
Soybean,Soy Allergy,Chickpeas
Spearmint,Mint Allergy,Peppermint (if tolerated)
Spinach,Histamine Allergy,Kale
Strawberry,Salicylate Allergy,Blueberries (if tolerated)
Sugar,Sugar Allergy / Intolerance,Stevia
Sugar beet,Sugar Allergy / Intolerance,Stevia
Sugarcane,Sugar Allergy / Intolerance,Stevia
Sultani,Legume Allergy,Lentils
Sultapya,Legume Allergy,Lentils
Sunflower seed,Seed Allergy,Pumpkin Seeds
Sweet corn,Corn Allergy,Quinoa
Sweet Pepper,Nightshade Allergy,Zucchini
Sweet potato,Potato Allergy,Carrots
Taro,Potato Allergy,Sweet Potato
Tea,Tannin Allergy,Herbal Tea
Tetraodontiformes,Fish Allergy,Tofu
Tomato,Nightshade Allergy,Zucchini
Trout,Fish Allergy,Tofu
Tuna,Fish Allergy,Tofu
Turkey,Poultry Allergy,Tofu
Turnip root,Thyroid,Carrots
Walnut,Nut Allergy,Pumpkin Seeds
Welsh,Allium Allergy,Scallions
Wheat,Gluten Allergy,Rice Flour
Whey,Milk allergy / Lactose intolerance,Coconut Cream
White bean,Legume Allergy,Lentils
Yam,Potato Allergy,Sweet Potato
Yogurt ,Milk allergy / Lactose intolerance,No substitute available
